index,group,inc_date,incnum,exp,aidtype,inc_type,struc_type,property_use,fire_sprd,civilian_casualties,firefighter_casualties,incident_number
69,inc_sf2014q1.csv,20140101,519,0,N,118,,962,,0,0,201401010519
72,inc_sf2014q1.csv,20140101,562,0,N,118,,962,,0,0,201401010562
73,inc_sf2014q1.csv,20140101,583,0,N,118,,963,,0,0,201401010583
77,inc_sf2014q1.csv,20140101,620,0,N,113,,419,,0,0,201401010620
56,inc_sf2014q1.csv,20140101,422,0,N,111,1,419,4,0,0,201401010422
62,inc_sf2014q1.csv,20140101,466,0,N,111,1,419,2,0,0,201401010466
65,inc_sf2014q1.csv,20140101,482,0,N,111,1,419,4,0,0,201401010482
82,inc_sf2014q1.csv,20140101,638,0,N,111,1,419,2,0,0,201401010638
103,inc_sf2014q1.csv,20140101,824,0,N,118,,961,,0,0,201401010824
104,inc_sf2014q1.csv,20140101,827,0,N,113,,419,,0,0,201401010827
90,inc_sf2014q1.csv,20140101,678,0,1,111,1,700,5,0,0,201401010678
117,inc_sf2014q1.csv,20140101,962,0,N,118,,963,,0,0,201401010962
122,inc_sf2014q1.csv,20140101,977,0,N,118,,962,,0,0,201401010977
161,inc_sf2014q1.csv,20140101,1263,0,N,118,,965,,0,0,201401011263
165,inc_sf2014q1.csv,20140101,1299,0,N,118,,962,,0,0,201401011299
169,inc_sf2014q1.csv,20140101,1322,0,N,118,,962,,0,0,201401011322
174,inc_sf2014q1.csv,20140101,1375,0,N,113,,429,,0,0,201401011375
180,inc_sf2014q1.csv,20140101,1401,0,N,118,,962,,0,0,201401011401
186,inc_sf2014q1.csv,20140101,1421,0,N,118,,963,,0,0,201401011421
187,inc_sf2014q1.csv,20140101,1422,0,N,118,,500,,0,0,201401011422
188,inc_sf2014q1.csv,20140101,1423,0,N,118,,213,,0,0,201401011423
202,inc_sf2014q1.csv,20140101,1518,0,N,118,,500,,0,0,201401011518
212,inc_sf2014q1.csv,20140101,1568,0,N,118,,962,,0,0,201401011568
222,inc_sf2014q1.csv,20140101,1639,0,N,118,,960,,0,0,201401011639
225,inc_sf2014q1.csv,20140101,1647,0,N,118,,962,,0,0,201401011647
228,inc_sf2014q1.csv,20140101,1668,0,N,118,,962,,0,0,201401011668
218,inc_sf2014q1.csv,20140101,1602,0,N,111,1,429,4,0,0,201401011602
226,inc_sf2014q1.csv,20140101,1656,0,N,111,1,419,5,0,0,201401011656
237,inc_sf2014q1.csv,20140102,75,0,N,118,,900,,0,0,201401020075
238,inc_sf2014q1.csv,20140102,86,0,N,118,,965,,0,0,201401020086
240,inc_sf2014q1.csv,20140102,100,0,N,111,1,419,4,0,0,201401020100
282,inc_sf2014q1.csv,20140102,539,0,N,118,,962,,0,0,201401020539
302,inc_sf2014q1.csv,20140102,657,0,N,118,,963,,0,0,201401020657
306,inc_sf2014q1.csv,20140102,699,0,N,111,1,419,4,0,0,201401020699
316,inc_sf2014q1.csv,20140102,790,0,N,118,,962,,0,0,201401020790
315,inc_sf2014q1.csv,20140102,774,0,N,111,1,429,4,0,0,201401020774
323,inc_sf2014q1.csv,20140102,913,0,N,118,,962,,0,0,201401020913
345,inc_sf2014q1.csv,20140102,1140,0,N,118,,962,,0,0,201401021140
347,inc_sf2014q1.csv,20140102,1148,0,N,113,,419,,0,0,201401021148
355,inc_sf2014q1.csv,20140102,1214,0,N,118,,161,,0,0,201401021214
361,inc_sf2014q1.csv,20140102,1243,0,N,111,1,891,4,0,0,201401021243
364,inc_sf2014q1.csv,20140102,1277,0,N,113,,429,,0,0,201401021277
379,inc_sf2014q1.csv,20140102,1403,0,N,118,,962,,0,0,201401021403
383,inc_sf2014q1.csv,20140102,1423,0,N,118,,960,,0,0,201401021423
385,inc_sf2014q1.csv,20140102,1443,0,N,118,,962,,0,0,201401021443
386,inc_sf2014q1.csv,20140102,1444,0,N,118,,000,,0,0,201401021444
400,inc_sf2014q1.csv,20140103,49,0,N,113,,429,,0,0,201401030049
478,inc_sf2014q1.csv,20140103,699,0,N,121,1,419,4,0,0,201401030699
479,inc_sf2014q1.csv,20140103,699,1,N,121,1,419,4,0,0,201401030699
473,inc_sf2014q1.csv,20140103,650,0,N,113,,429,,0,0,201401030650
516,inc_sf2014q1.csv,20140103,1038,0,N,113,,429,,0,0,201401031038
536,inc_sf2014q1.csv,20140103,1176,0,N,111,1,429,2,0,0,201401031176
548,inc_sf2014q1.csv,20140103,1303,0,N,113,,429,,0,0,201401031303
561,inc_sf2014q1.csv,20140103,1409,0,N,118,,900,,0,0,201401031409
588,inc_sf2014q1.csv,20140104,62,0,N,111,1,419,4,0,0,201401040062
573,inc_sf2014q1.csv,20140103,1511,0,N,118,,429,,0,0,201401031511
598,inc_sf2014q1.csv,20140104,144,0,N,111,1,599,4,0,0,201401040144
599,inc_sf2014q1.csv,20140104,147,0,N,111,1,419,4,0,0,201401040147
589,inc_sf2014q1.csv,20140104,63,0,N,118,,965,,0,0,201401040063
627,inc_sf2014q1.csv,20140104,424,0,N,118,,151,,0,0,201401040424
637,inc_sf2014q1.csv,20140104,528,0,N,113,,419,,0,0,201401040528
646,inc_sf2014q1.csv,20140104,660,0,N,113,,419,,0,0,201401040660
654,inc_sf2014q1.csv,20140104,710,0,N,118,,962,,0,0,201401040710
703,inc_sf2014q1.csv,20140104,1073,0,N,111,1,419,2,0,0,201401041073
707,inc_sf2014q1.csv,20140104,1095,0,N,111,1,419,4,0,0,201401041095
715,inc_sf2014q1.csv,20140104,1148,0,N,111,1,419,4,0,0,201401041148
718,inc_sf2014q1.csv,20140104,1155,1,N,111,1,429,4,0,0,201401041155
689,inc_sf2014q1.csv,20140104,1003,0,N,118,,960,,0,0,201401041003
691,inc_sf2014q1.csv,20140104,1010,0,N,118,,960,,0,0,201401041010
695,inc_sf2014q1.csv,20140104,1025,0,N,113,,429,,0,0,201401041025
720,inc_sf2014q1.csv,20140104,1164,0,N,113,,419,,0,0,201401041164
755,inc_sf2014q1.csv,20140105,67,0,N,111,1,419,4,0,0,201401050067
733,inc_sf2014q1.csv,20140104,1238,0,N,118,,960,,0,0,201401041238
737,inc_sf2014q1.csv,20140104,1247,0,N,113,,429,,0,0,201401041247
739,inc_sf2014q1.csv,20140104,1254,0,N,118,,962,,0,0,201401041254
752,inc_sf2014q1.csv,20140105,33,0,N,118,,962,,0,0,201401050033
754,inc_sf2014q1.csv,20140105,63,0,N,118,,960,,0,0,201401050063
787,inc_sf2014q1.csv,20140105,314,0,N,111,1,419,2,0,0,201401050314
758,inc_sf2014q1.csv,20140105,93,0,N,118,,960,,0,0,201401050093
795,inc_sf2014q1.csv,20140105,441,0,N,111,1,429,4,0,0,201401050441
810,inc_sf2014q1.csv,20140105,628,0,N,111,1,459,4,0,0,201401050628
812,inc_sf2014q1.csv,20140105,634,0,N,111,1,400,4,0,0,201401050634
775,inc_sf2014q1.csv,20140105,168,0,N,118,,962,,0,0,201401050168
789,inc_sf2014q1.csv,20140105,330,0,N,118,,962,,0,0,201401050330
798,inc_sf2014q1.csv,20140105,461,0,N,113,,419,,0,0,201401050461
804,inc_sf2014q1.csv,20140105,531,0,N,118,,960,,0,0,201401050531
817,inc_sf2014q1.csv,20140105,674,0,N,118,,961,,0,0,201401050674
864,inc_sf2014q1.csv,20140105,1009,0,N,111,1,429,4,0,0,201401051009
831,inc_sf2014q1.csv,20140105,784,0,N,118,,162,,0,0,201401050784
868,inc_sf2014q1.csv,20140105,1047,0,N,111,1,449,2,0,0,201401051047
835,inc_sf2014q1.csv,20140105,840,0,N,113,,419,,0,0,201401050840
838,inc_sf2014q1.csv,20140105,870,0,N,113,,419,,0,0,201401050870
881,inc_sf2014q1.csv,20140105,1104,0,N,111,1,419,4,0,0,201401051104
840,inc_sf2014q1.csv,20140105,889,0,N,118,,419,,0,0,201401050889
884,inc_sf2014q1.csv,20140105,1117,0,N,111,1,161,4,0,0,201401051117
842,inc_sf2014q1.csv,20140105,913,0,N,118,,963,,0,0,201401050913
848,inc_sf2014q1.csv,20140105,947,0,N,118,,961,,0,0,201401050947
882,inc_sf2014q1.csv,20140105,1106,0,N,118,,962,,0,0,201401051106
888,inc_sf2014q1.csv,20140105,1131,0,N,118,,962,,0,0,201401051131
892,inc_sf2014q1.csv,20140105,1153,0,3,118,,962,,0,0,201401051153
896,inc_sf2014q1.csv,20140105,1163,0,N,118,,965,,0,0,201401051163
900,inc_sf2014q1.csv,20140105,1169,0,N,118,,962,,0,0,201401051169
967,inc_sf2014q1.csv,20140106,339,0,N,111,1,419,4,0,0,201401060339
920,inc_sf2014q1.csv,20140105,1304,0,N,118,,962,,0,0,201401051304
926,inc_sf2014q1.csv,20140105,1339,0,N,118,,962,,0,0,201401051339
965,inc_sf2014q1.csv,20140106,293,0,N,118,,429,,0,0,201401060293
977,inc_sf2014q1.csv,20140106,406,0,N,113,,419,,0,0,201401060406
1009,inc_sf2014q1.csv,20140106,616,0,N,118,,429,,0,0,201401060616
1012,inc_sf2014q1.csv,20140106,660,0,N,116,,400,,0,0,201401060660
1027,inc_sf2014q1.csv,20140106,759,0,N,113,,429,,0,0,201401060759
1030,inc_sf2014q1.csv,20140106,782,0,N,113,,429,,0,0,201401060782
1090,inc_sf2014q1.csv,20140106,1222,0,N,111,1,549,4,0,0,201401061222
1091,inc_sf2014q1.csv,20140106,1222,1,N,111,1,549,4,0,0,201401061222
1036,inc_sf2014q1.csv,20140106,811,0,N,118,,151,,0,0,201401060811
1043,inc_sf2014q1.csv,20140106,862,0,N,113,,429,,0,0,201401060862
1073,inc_sf2014q1.csv,20140106,1117,0,N,113,,419,,0,0,201401061117
1081,inc_sf2014q1.csv,20140106,1183,0,N,118,,960,,0,0,201401061183
1082,inc_sf2014q1.csv,20140106,1184,0,N,118,,962,,0,0,201401061184
1095,inc_sf2014q1.csv,20140106,1269,0,N,113,,429,,0,0,201401061269
1109,inc_sf2014q1.csv,20140106,1373,0,N,113,,429,,0,0,201401061373
1176,inc_sf2014q1.csv,20140107,238,0,N,111,1,419,4,0,0,201401070238
1146,inc_sf2014q1.csv,20140106,1608,0,N,118,,960,,0,0,201401061608
1147,inc_sf2014q1.csv,20140106,1615,0,N,118,,962,,0,0,201401061615
1159,inc_sf2014q1.csv,20140107,106,0,N,118,,419,,0,0,201401070106
1249,inc_sf2014q1.csv,20140107,813,0,N,113,,400,,0,0,201401070813
1267,inc_sf2014q1.csv,20140107,932,0,N,113,,419,,0,0,201401070932
1276,inc_sf2014q1.csv,20140107,994,0,N,113,,429,,0,0,201401070994
1348,inc_sf2014q1.csv,20140108,83,0,N,111,1,808,4,0,0,201401080083
1350,inc_sf2014q1.csv,20140108,83,2,N,111,1,429,4,0,0,201401080083
1351,inc_sf2014q1.csv,20140108,83,3,N,111,1,429,4,0,0,201401080083
1282,inc_sf2014q1.csv,20140107,1025,0,N,118,,963,,0,0,201401071025
1298,inc_sf2014q1.csv,20140107,1149,0,N,118,,960,,0,0,201401071149
1314,inc_sf2014q1.csv,20140107,1278,0,N,118,,960,,0,0,201401071278
1371,inc_sf2014q1.csv,20140108,258,0,N,118,,960,,0,0,201401080258
1462,inc_sf2014q1.csv,20140108,1131,0,N,111,1,419,4,0,0,201401081131
1415,inc_sf2014q1.csv,20140108,733,0,N,113,,429,,0,0,201401080733
1446,inc_sf2014q1.csv,20140108,996,0,N,113,,429,,0,0,201401080996
1460,inc_sf2014q1.csv,20140108,1118,0,N,113,,519,,0,0,201401081118
1467,inc_sf2014q1.csv,20140108,1164,0,N,118,,960,,0,0,201401081164
1473,inc_sf2014q1.csv,20140108,1202,0,N,113,,429,,0,0,201401081202
1483,inc_sf2014q1.csv,20140108,1258,0,N,113,,429,,0,0,201401081258
1577,inc_sf2014q1.csv,20140109,781,0,N,111,1,419,4,0,0,201401090781
1494,inc_sf2014q1.csv,20140108,1372,0,N,118,,449,,0,0,201401081372
1614,inc_sf2014q1.csv,20140109,1137,0,N,122,1,965,4,0,0,201401091137
1632,inc_sf2014q1.csv,20140109,1264,0,N,111,1,429,4,0,0,201401091264
1677,inc_sf2014q1.csv,20140110,124,0,N,111,1,311,2,0,0,201401100124
1589,inc_sf2014q1.csv,20140109,905,0,N,113,,429,,0,0,201401090905
1594,inc_sf2014q1.csv,20140109,930,0,N,118,,962,,0,0,201401090930
1607,inc_sf2014q1.csv,20140109,1075,0,N,118,,960,,0,0,201401091075
1709,inc_sf2014q1.csv,20140110,388,0,N,111,1,419,4,0,0,201401100388
1613,inc_sf2014q1.csv,20140109,1134,0,N,118,,931,,0,0,201401091134
1616,inc_sf2014q1.csv,20140109,1145,0,N,118,,429,,0,0,201401091145
1635,inc_sf2014q1.csv,20140109,1277,0,N,118,,962,,0,0,201401091277
1641,inc_sf2014q1.csv,20140109,1298,0,N,118,,419,,0,0,201401091298
1655,inc_sf2014q1.csv,20140109,1412,0,N,118,,960,,0,0,201401091412
1762,inc_sf2014q1.csv,20140110,772,0,N,111,1,419,4,0,0,201401100772
1789,inc_sf2014q1.csv,20140110,985,0,N,123,1,419,4,0,0,201401100985
1793,inc_sf2014q1.csv,20140110,1016,0,N,111,1,419,4,0,0,201401101016
1805,inc_sf2014q1.csv,20140110,1120,0,N,111,1,419,4,1,0,201401101120
1841,inc_sf2014q1.csv,20140110,1404,0,N,111,1,419,4,0,0,201401101404
1733,inc_sf2014q1.csv,20140110,532,0,N,118,,919,,0,0,201401100532
1752,inc_sf2014q1.csv,20140110,660,0,N,113,,400,,0,0,201401100660
1878,inc_sf2014q1.csv,20140111,229,0,N,111,1,511,4,0,0,201401110229
1813,inc_sf2014q1.csv,20140110,1232,0,N,118,,962,,0,0,201401101232
1943,inc_sf2014q1.csv,20140111,787,0,N,111,1,419,4,0,0,201401110787
1850,inc_sf2014q1.csv,20140110,1481,0,N,118,,931,,0,0,201401101481
1856,inc_sf2014q1.csv,20140111,17,0,N,113,,429,,0,0,201401110017
1872,inc_sf2014q1.csv,20140111,181,0,N,118,,429,,0,0,201401110181
1874,inc_sf2014q1.csv,20140111,191,0,N,118,,459,,0,0,201401110191
1880,inc_sf2014q1.csv,20140111,236,0,N,118,,960,,0,0,201401110236
2011,inc_sf2014q1.csv,20140111,1288,0,N,111,1,419,4,0,0,201401111288
1898,inc_sf2014q1.csv,20140111,391,0,N,113,,429,,0,0,201401110391
1904,inc_sf2014q1.csv,20140111,422,0,N,113,,429,,0,0,201401110422
1923,inc_sf2014q1.csv,20140111,650,0,N,113,,429,,0,0,201401110650
2062,inc_sf2014q1.csv,20140112,208,0,N,111,1,449,2,0,0,201401120208
2092,inc_sf2014q1.csv,20140112,480,0,N,111,1,419,4,0,0,201401120480
2099,inc_sf2014q1.csv,20140112,537,0,N,111,1,419,2,0,0,201401120537
1985,inc_sf2014q1.csv,20140111,1108,0,N,113,,429,,0,0,201401111108
1999,inc_sf2014q1.csv,20140111,1208,0,N,113,,429,,0,0,201401111208
2005,inc_sf2014q1.csv,20140111,1235,0,N,118,,962,,0,0,201401111235
2148,inc_sf2014q1.csv,20140112,857,0,N,111,1,429,4,0,0,201401120857
2036,inc_sf2014q1.csv,20140111,1496,0,N,113,,429,,0,0,201401111496
2044,inc_sf2014q1.csv,20140112,27,0,N,118,,963,,0,0,201401120027
2050,inc_sf2014q1.csv,20140112,100,0,N,118,,962,,0,0,201401120100
2207,inc_sf2014q1.csv,20140112,1295,0,N,122,1,962,4,0,0,201401121295
2215,inc_sf2014q1.csv,20140112,1347,1,N,111,1,881,4,0,0,201401121347
2216,inc_sf2014q1.csv,20140112,1351,0,N,111,1,881,4,0,0,201401121351
2219,inc_sf2014q1.csv,20140112,1379,0,N,111,1,449,2,0,0,201401121379
2228,inc_sf2014q1.csv,20140112,1460,0,N,111,1,161,4,0,0,201401121460
2249,inc_sf2014q1.csv,20140113,158,0,N,111,1,429,4,0,0,201401130158
2251,inc_sf2014q1.csv,20140113,173,0,N,111,1,419,4,0,0,201401130173
2275,inc_sf2014q1.csv,20140113,362,0,N,111,1,419,4,0,0,201401130362
2133,inc_sf2014q1.csv,20140112,775,0,N,115,,460,,0,0,201401120775
2152,inc_sf2014q1.csv,20140112,901,0,N,118,,419,,0,0,201401120901
2157,inc_sf2014q1.csv,20140112,960,0,N,118,,963,,0,0,201401120960
2158,inc_sf2014q1.csv,20140112,961,0,N,113,,429,,0,0,201401120961
2170,inc_sf2014q1.csv,20140112,1047,0,N,113,,419,,0,0,201401121047
2324,inc_sf2014q1.csv,20140113,776,0,N,111,1,419,2,0,0,201401130776
2179,inc_sf2014q1.csv,20140112,1093,0,N,118,,962,,0,0,201401121093
2192,inc_sf2014q1.csv,20140112,1181,0,N,118,,962,,0,0,201401121181
2205,inc_sf2014q1.csv,20140112,1291,0,N,118,,963,,0,0,201401121291
2236,inc_sf2014q1.csv,20140113,44,0,N,118,,962,,0,0,201401130044
2250,inc_sf2014q1.csv,20140113,160,0,N,118,,962,,0,0,201401130160
2252,inc_sf2014q1.csv,20140113,177,0,N,113,,419,,0,0,201401130177
2256,inc_sf2014q1.csv,20140113,189,0,N,118,,962,,0,0,201401130189
2459,inc_sf2014q1.csv,20140114,453,0,N,111,1,429,4,0,0,201401140453
2470,inc_sf2014q1.csv,20140114,527,0,N,111,1,419,4,0,0,201401140527
2471,inc_sf2014q1.csv,20140114,534,0,2,111,1,419,5,0,0,201401140534
2322,inc_sf2014q1.csv,20140113,757,0,N,118,,962,,0,0,201401130757
2327,inc_sf2014q1.csv,20140113,787,0,N,118,,960,,0,0,201401130787
2348,inc_sf2014q1.csv,20140113,945,0,N,118,,819,,0,0,201401130945
2532,inc_sf2014q1.csv,20140114,1043,0,N,111,1,419,4,0,0,201401141043
2548,inc_sf2014q1.csv,20140114,1198,0,N,111,1,419,4,0,0,201401141198
2395,inc_sf2014q1.csv,20140113,1353,0,N,113,,900,,0,0,201401131353
2560,inc_sf2014q1.csv,20140114,1328,0,N,111,1,529,4,0,0,201401141328
2608,inc_sf2014q1.csv,20140115,262,0,N,111,1,419,4,0,0,201401150262
2450,inc_sf2014q1.csv,20140114,354,0,N,118,,400,,0,0,201401140354
2645,inc_sf2014q1.csv,20140115,636,0,N,111,1,881,4,0,0,201401150636
2499,inc_sf2014q1.csv,20140114,753,0,N,113,,439,,0,0,201401140753
2678,inc_sf2014q1.csv,20140115,911,0,N,123,1,419,4,0,0,201401150911
2519,inc_sf2014q1.csv,20140114,955,0,N,113,,429,,0,0,201401140955
2520,inc_sf2014q1.csv,20140114,961,0,N,118,,429,,0,0,201401140961
2695,inc_sf2014q1.csv,20140115,1052,0,N,111,1,449,2,0,0,201401151052
2549,inc_sf2014q1.csv,20140114,1214,0,N,113,,429,,0,0,201401141214
2551,inc_sf2014q1.csv,20140114,1226,0,N,118,,962,,0,0,201401141226
2554,inc_sf2014q1.csv,20140114,1252,0,N,118,,962,,0,0,201401141252
2564,inc_sf2014q1.csv,20140114,1353,0,N,118,,960,,0,0,201401141353
2613,inc_sf2014q1.csv,20140115,351,0,N,113,,419,,0,0,201401150351
2629,inc_sf2014q1.csv,20140115,501,0,N,113,,000,,0,0,201401150501
2664,inc_sf2014q1.csv,20140115,769,0,N,118,,963,,0,0,201401150769
2676,inc_sf2014q1.csv,20140115,895,0,N,118,,419,,0,0,201401150895
2677,inc_sf2014q1.csv,20140115,907,0,N,118,,960,,0,0,201401150907
2873,inc_sf2014q1.csv,20140116,1102,0,N,111,1,419,4,0,0,201401161102
2711,inc_sf2014q1.csv,20140115,1181,0,N,118,,960,,0,0,201401151181
2715,inc_sf2014q1.csv,20140115,1210,0,N,118,,960,,0,0,201401151210
